id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
320465,GB-0406,small_airport,"Harringe Airfield",51.0924,0.988694,275,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.kentmicrolightclub.co.uk,,,50,2016-09-24T05:00:59+00:00
320467,GB-0407,small_airport,"Yearby Airstrip",54.5847,-1.06953,89,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.acro.co.uk,,"Turners Arms",50,2020-02-01T00:47:47+00:00
320506,GB-0411,small_airport,"Husbands Bosworth Airfield",52.4392898,-1.0416094,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-09-25T07:34:00+00:00
320631,GB-0422,small_airport,"Hook Norton Airstrip",52.0093,-1.4896,591,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-10-03T07:35:29+00:00
320640,GB-0424,small_airport,"Jenkins Farm Airstrip",51.6404,0.202711,250,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-10-04T09:56:28+00:00
320641,GB-0425,small_airport,"Burnham Airstrip",52.938004,0.772644,125,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2018-08-25T15:30:23+00:00
320642,GB-0426,small_airport,"Felthorpe Airfield",52.7059,1.19449,150,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://felthorpe.net,,,50,2016-10-04T10:11:45+00:00
320686,GB-0427,small_airport,"Askern Airfield",53.6104,-1.13324,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.southyorkshiremicrolightclub.org.uk,,,50,2016-10-07T14:31:16+00:00
320687,GB-0428,small_airport,"Drayton St. Leonard",51.6641,-1.12693,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-10-07T14:36:45+00:00
320750,GB-0433,small_airport,"Tillingham Airstrip",51.6928,0.872767,60,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,"Stowes Farm",50,2020-04-26T02:21:13+00:00
320763,GB-0434,small_airport,"Ludham Airfield",52.7185,1.55172,,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.ludhamairfield.org/,,,50,2016-10-12T05:45:09+00:00
320764,GB-0435,small_airport,"Eye Kettleby Airstrip",52.7405,-0.906744,323,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-10-12T06:02:27+00:00
320791,GB-0438,small_airport,"Baxby-Husthwaite Airfield",54.1689,-1.22665,130,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,http://www.baxbyairsports.co.uk,,"Baxby,Husthwaite",50,2016-10-14T05:38:11+00:00
320793,GB-0440,small_airport,"Tarn Farm Airfield (Rossall Field)",53.9354,-2.8432,15,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,https://bayflying.wordpress.com/club-info/,,"Tarn Farm,Rossall Field, Bay Flying Club",50,2019-07-13T06:12:08+00:00
320839,GB-0443,small_airport,"Forwood Farm Airstrip",53.3026,-0.85115,135,EU,"United Kingdom",GB,England,GB-ENG,ENG,,0,,,,,,,50,2016-10-17T10:17:21+00:00
